Method,S,OA_percent_mean,OA_percent_std,Balanced_accuracy_mean,Balanced_accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std,AUC_mean,AUC_std
DCT,10,92.1282,4.7730,0.9213,0.0477,0.9517,0.0404,0.8887,0.0818,0.9172,0.0535,0.8469,0.0899,0.9764,0.0231
DCT,20,94.4474,3.1814,0.9445,0.0318,0.9565,0.0429,0.9329,0.0377,0.9439,0.0317,0.8903,0.0629,0.9863,0.0114
DCT,30,95.9324,1.6222,0.9593,0.0162,0.9618,0.0296,0.9578,0.0272,0.9593,0.0161,0.9196,0.0318,0.9921,0.0052
DCT,40,96.9861,1.1640,0.9699,0.0116,0.9775,0.0105,0.9619,0.0192,0.9696,0.0119,0.9400,0.0231,0.9940,0.0032
DCT,50,97.2714,0.5322,0.9727,0.0053,0.9724,0.0084,0.9731,0.0090,0.9727,0.0053,0.9455,0.0106,0.9946,0.0021
DCT + SVD,10,84.2692,7.4538,0.8427,0.0745,0.8478,0.0928,0.8426,0.0605,0.8440,0.0706,0.6873,0.1494,0.9158,0.0639
DCT + SVD,20,90.2237,3.7674,0.9022,0.0377,0.9137,0.0578,0.8921,0.0398,0.9017,0.0361,0.8066,0.0756,0.9659,0.0293
DCT + SVD,30,89.9595,4.3566,0.8996,0.0436,0.9025,0.0534,0.8978,0.0403,0.8997,0.0424,0.7999,0.0875,0.9615,0.0336
DCT + SVD,40,91.4722,2.7841,0.9147,0.0278,0.9104,0.0329,0.9208,0.0315,0.9153,0.0274,0.8301,0.0552,0.9721,0.0146
DCT + SVD,50,92.4286,2.7063,0.9243,0.0271,0.9241,0.0425,0.9271,0.0360,0.9247,0.0257,0.8503,0.0520,0.9786,0.0155
SVD,10,53.5256,4.4330,0.5353,0.0443,0.5013,0.1931,0.5203,0.3709,0.4605,0.2261,0.0757,0.0968,0.5680,0.0601
SVD,20,51.8684,3.1370,0.5187,0.0314,0.3680,0.2555,0.3924,0.4418,0.3110,0.3258,0.0386,0.0747,0.5650,0.0556
SVD,30,53.6351,2.5888,0.5364,0.0259,0.5162,0.1883,0.4227,0.3245,0.4143,0.2123,0.0892,0.0499,0.5709,0.0285
SVD,40,51.5000,2.8740,0.5150,0.0287,0.4955,0.1938,0.4989,0.3747,0.4283,0.2444,0.0463,0.0635,0.5548,0.0448
SVD,50,52.4571,4.2367,0.5246,0.0424,0.5467,0.0948,0.4603,0.3296,0.4246,0.2314,0.0529,0.0958,0.5549,0.0660
