Method,S,OA_percent_mean,OA_percent_std,Balanced_accuracy_mean,Balanced_accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std,AUC_mean,AUC_std
DCT,10,96.7556,1.8029,0.9489,0.0472,0.9254,0.0539,0.9178,0.1020,0.9168,0.0540,0.9003,0.0586,0.9943,0.0078
DCT,20,97.5000,0.7906,0.9614,0.0225,0.9396,0.0425,0.9388,0.0525,0.9373,0.0211,0.9231,0.0244,0.9974,0.0023
DCT,30,98.3429,0.6431,0.9762,0.0109,0.9547,0.0325,0.9643,0.0245,0.9589,0.0155,0.9490,0.0194,0.9980,0.0022
DCT,40,98.0667,0.4098,0.9667,0.0143,0.9601,0.0199,0.9433,0.0326,0.9511,0.0112,0.9395,0.0135,0.9976,0.0015
DCT,50,98.1600,0.5719,0.9645,0.0149,0.9713,0.0138,0.9360,0.0310,0.9530,0.0154,0.9420,0.0184,0.9969,0.0017
DCT + SVD,10,90.2444,3.5299,0.8736,0.0480,0.7407,0.1022,0.8256,0.1053,0.7737,0.0701,0.7200,0.0878,0.9559,0.0333
DCT + SVD,20,92.3750,3.6558,0.9120,0.0176,0.7988,0.1462,0.8925,0.0703,0.8308,0.0594,0.7947,0.0716,0.9806,0.0100
DCT + SVD,30,92.0857,2.1969,0.9130,0.0371,0.7619,0.0851,0.9000,0.0819,0.8202,0.0467,0.7785,0.0610,0.9752,0.0182
DCT + SVD,40,92.9000,2.0187,0.9206,0.0484,0.7794,0.0486,0.9067,0.1043,0.8345,0.0545,0.7965,0.0666,0.9773,0.0193
DCT + SVD,50,93.2800,2.8209,0.9130,0.0394,0.8148,0.0955,0.8800,0.0794,0.8411,0.0585,0.8037,0.0744,0.9802,0.0149
SVD,10,51.1111,25.7520,0.4969,0.0321,0.1425,0.1017,0.4733,0.4081,0.2093,0.1478,-0.0157,0.0631,0.5136,0.0424
SVD,20,52.9750,21.0421,0.5266,0.0524,0.2463,0.0631,0.5212,0.2662,0.3030,0.0434,0.0481,0.1014,0.5391,0.0615
SVD,30,54.5429,14.3367,0.5305,0.0374,0.2299,0.0319,0.5057,0.2636,0.2827,0.0881,0.0560,0.0607,0.5487,0.0555
SVD,40,46.3000,14.7493,0.5125,0.0452,0.2130,0.0295,0.5950,0.1918,0.3043,0.0384,0.0177,0.0773,0.5255,0.0661
SVD,50,59.6800,11.7224,0.5470,0.0306,0.2456,0.0299,0.4640,0.1748,0.3103,0.0423,0.0813,0.0503,0.5756,0.0426
